# Version 1.00
#
freq[Hz];re:Smith_S11;im:Smith_S11;re:Magnitude_Z<-S11[Ohm];im:Magnitude_Z<-S11[Ohm];re:Phase_S11;im:Phase_S11;
8.000000000000000E+07;-8.562581265209087E-01;-3.132172362647098E-01;2.380453446276586E+00;-8.838458740371873E+00;-8.562581265209087E-01;-3.132172362647098E-01;
8.050000000000000E+07;-8.720960622832200E-01;-2.622912619524568E-01;2.387712663974826E+00;-7.339815270311634E+00;-8.720960622832200E-01;-2.622912619524568E-01;
8.100000000000000E+07;-8.849372623756990E-01;-2.111641652090234E-01;2.394606861380493E+00;-5.869618920575602E+00;-8.849372623756990E-01;-2.111641652090234E-01;
8.150000000000000E+07;-8.945980215467378E-01;-1.600015687191514E-01;2.407869403055276E+00;-4.425921077903123E+00;-8.945980215467378E-01;-1.600015687191514E-01;
8.200000000000000E+07;-9.014134333242930E-01;-1.090272029842345E-01;2.420103499912197E+00;-3.005773055230517E+00;-9.014134333242930E-01;-1.090272029842345E-01;
8.250000000000000E+07;-9.054863807493229E-01;-5.744526337955743E-02;2.432385550880871E+00;-1.580694686678580E+00;-9.054863807493229E-01;-5.744526337955743E-02;
8.300000000000000E+07;-9.068527202507043E-01;-5.212441234319246E-03;2.442043228804040E+00;-1.433519566743632E-01;-9.067441996071455E-01;-5.229081881738302E-03;
8.350000000000000E+07;-9.048984479018038E-01;4.810276877437764E-02;2.462782817592474E+00;1.324797715025034E+00;-9.048984479018038E-01;4.810276877437764E-02;
8.400000000000000E+07;-8.998228001619679E-01;1.006327625257824E-01;2.489215142515376E+00;2.780330208770590E+00;-8.998228001619679E-01;1.006327625257824E-01;
8.450000000000000E+07;-8.916692150669439E-01;1.523907510878855E-01;2.522507856989197E+00;4.231154346434030E+00;-8.916692150669439E-01;1.523907510878855E-01;
8.500000000000000E+07;-8.808331079774777E-01;2.035878874070168E-01;2.552192892008194E+00;5.688431304250579E+00;-8.808331079774777E-01;2.035878874070168E-01;
