# Version 1.00
#
freq[Hz];re:Smith_S11;im:Smith_S11;re:Magnitude_Z<-S11[Ohm];im:Magnitude_Z<-S11[Ohm];re:Phase_S11;im:Phase_S11;
9.650000000000000E+07;-2.101592162812743E-01;8.665959557802704E-01;4.623041488977298E+00;3.911560248429610E+01;-2.101592162812743E-01;8.665959557802704E-01;
9.700000000000000E+07;-1.605242256953955E-01;8.759376484090177E-01;4.894916267271512E+00;4.143345119396460E+01;-1.605242256953955E-01;8.759376484090177E-01;
9.750000000000000E+07;-1.099784835234235E-01;8.825409312362302E-01;5.197251074345433E+00;4.388718708330245E+01;-1.099784835234235E-01;8.825409312362302E-01;
9.800000000000000E+07;-5.941079083560904E-02;8.858178254095519E-01;5.553078746186988E+00;4.645026068777221E+01;-5.941079083560904E-02;8.858178254095519E-01;
9.850000000000000E+07;-8.275636778611522E-03;8.860904880178478E-01;5.960095690276815E+00;4.917872324887927E+01;-8.275636778611522E-03;8.860904880178478E-01;
9.900000000000000E+07;4.230429180415233E-02;8.835776439196819E-01;6.405032927612987E+00;5.203973002372535E+01;4.230429180415233E-02;8.835776439196819E-01;
9.950000000000000E+07;9.292911184503302E-02;8.779304571106317E-01;6.921770527531483E+00;5.509310977935893E+01;9.292911184503302E-02;8.779304571106317E-01;
1.000000000000000E+08;1.432848201932154E-01;8.693700586760327E-01;7.506725276070551E+00;5.835617986691825E+01;1.432848201932154E-01;8.693700586760327E-01;
1.005000000000000E+08;1.929788865958577E-01;8.583070529895112E-01;8.143817533728587E+00;6.183883896968474E+01;1.929788865958577E-01;8.583070529895112E-01;
1.010000000000000E+08;2.428108986280127E-01;8.446831800069377E-01;8.841652562849132E+00;6.564087374421042E+01;2.428108986280127E-01;8.446831800069377E-01;
1.015000000000000E+08;2.920583907535306E-01;8.270370385005158E-01;9.733258720877112E+00;6.978205087434009E+01;2.920583907535306E-01;8.270370385005158E-01;
1.020000000000000E+08;3.405355167682979E-01;8.062126343867994E-01;1.078729579470373E+01;7.431406410203745E+01;3.405355167682979E-01;8.062126343867994E-01;
1.025000000000000E+08;3.884028601413750E-01;7.813670335669995E-01;1.211721970573883E+01;7.935999783472212E+01;3.884028601413750E-01;7.813670335669995E-01;
1.030000000000000E+08;4.339554831507378E-01;7.526096645981275E-01;1.382801477448025E+01;8.486537606401430E+01;4.339554831507378E-01;7.526096645981275E-01;
1.035000000000000E+08;4.771634236999846E-01;7.200635385149431E-01;1.602725898878819E+01;9.093438351686341E+01;4.771634236999846E-01;7.200635385149431E-01;
1.040000000000000E+08;5.174099735222008E-01;6.840541098971386E-01;1.886045649795874E+01;9.760723531858724E+01;5.174099735222008E-01;6.840541098971386E-01;
1.045000000000000E+08;5.541253949140080E-01;6.450618037910421E-01;2.251067748618151E+01;1.049036385562391E+02;5.541253949140080E-01;6.450618037910421E-01;
