# Version 1.00
#
freq[Hz];re:Smith_S11;im:Smith_S11;re:Magnitude_Z<-S11[Ohm];im:Magnitude_Z<-S11[Ohm];re:Phase_S11;im:Phase_S11;
8.850000000000000E+07;-8.719881816061595E-01;3.019317177909209E-01;2.064716243991903E+00;8.397483149897688E+00;-8.719881816061595E-01;3.019317177909209E-01;
8.900000000000000E+07;-8.538964077129760E-01;3.482991566757843E-01;2.101438437600515E+00;9.788511911406159E+00;-8.538964077129760E-01;3.482991566757843E-01;
8.950000000000000E+07;-8.335170475424348E-01;3.936159197006825E-01;2.137160674776868E+00;1.119270555847373E+01;-8.335170475424348E-01;3.936159197006825E-01;
9.000000000000000E+07;-8.104158539066343E-01;4.379257818866328E-01;2.182622752190470E+00;1.262257829897833E+01;-8.104158539066343E-01;4.379257818866328E-01;
9.050000000000000E+07;-7.850009780859262E-01;4.806856124628756E-01;2.234445039019074E+00;1.406629268750498E+01;-7.850009780859262E-01;4.806856124628756E-01;
9.100000000000000E+07;-7.571574924539962E-01;5.222944930037757E-01;2.290222435587337E+00;1.554265643992339E+01;-7.571574924539962E-01;5.222944930037757E-01;
9.150000000000000E+07;-7.274458379644807E-01;5.622199819895307E-01;2.344298828849364E+00;1.703614093017683E+01;-7.274458379644807E-01;5.622199819895307E-01;
9.200000000000000E+07;-6.955875124629134E-01;6.004110867120875E-01;2.405563823051563E+00;1.855691982483049E+01;-6.955875124629134E-01;6.004110867120875E-01;
9.250000000000000E+07;-6.616278634953312E-01;6.367699361876699E-01;2.475500630327589E+00;2.010968997444452E+01;-6.616278634953312E-01;6.367699361876699E-01;
9.300000000000000E+07;-6.259292697238319E-01;6.714468524540070E-01;2.542774948749811E+00;2.169816456070666E+01;-6.259292697238319E-01;6.714468524540070E-01;
9.350000000000000E+07;-5.885554462136358E-01;7.040142312353110E-01;2.616079685947516E+00;2.331833552238288E+01;-5.885554462136358E-01;7.040142312353110E-01;
9.400000000000000E+07;-5.490012907442213E-01;7.343110884145488E-01;2.711900976727922E+00;2.498831576830008E+01;-5.490012907442213E-01;7.343110884145488E-01;
9.450000000000000E+07;-5.081585255336588E-01;7.626307302196733E-01;2.803938997849977E+00;2.670137513704403E+01;-5.081585255336588E-01;7.626307302196733E-01;
9.500000000000000E+07;-4.655875506835020E-01;7.885646144642960E-01;2.913480890791241E+00;2.847028731866014E+01;-4.655875506835020E-01;7.885646144642960E-01;
9.550000000000000E+07;-4.220356786781173E-01;8.123586199834271E-01;3.019250473657583E+00;3.028802004980167E+01;-4.220356786781173E-01;8.123586199834271E-01;
9.600000000000000E+07;-3.769502669033273E-01;8.337263920969111E-01;3.141702727866217E+00;3.217664511938475E+01;-3.769502669033273E-01;8.337263920969111E-01;
9.650000000000000E+07;-3.307072113255038E-01;8.526777038628954E-01;3.274297224207085E+00;3.413658921018256E+01;-3.307072113255038E-01;8.526777038628954E-01;
9.700000000000000E+07;-2.838636509071838E-01;8.688296913990556E-01;3.423734753383386E+00;3.615347077267064E+01;-2.838636509071838E-01;8.688296913990556E-01;
9.750000000000000E+07;-2.358166933780522E-01;8.826789376121486E-01;3.582875645263846E+00;3.827143297399751E+01;-2.358166933780522E-01;8.826789376121486E-01;
9.800000000000000E+07;-1.871418606553279E-01;8.936162385437559E-01;3.768994872221977E+00;4.047439361751552E+01;-1.871418606553279E-01;8.936162385437559E-01;
9.850000000000000E+07;-1.380969038114419E-01;9.022085710009177E-01;3.957552347260319E+00;4.277400811380674E+01;-1.380969038114419E-01;9.022085710009177E-01;
9.900000000000000E+07;-8.840595075838303E-02;9.076914910952602E-01;4.189144080483546E+00;4.519180086925958E+01;-8.840595075838303E-02;9.076914910952602E-01;
9.950000000000000E+07;-3.847864775474096E-02;9.108315162902518E-01;4.426120115381474E+00;4.773620104531607E+01;-3.847864775474096E-02;9.108315162902518E-01;
1.000000000000000E+08;1.142694261645950E-02;9.108982344413026E-01;4.707600303748973E+00;5.040907817081190E+01;1.142694261645950E-02;9.108982344413026E-01;
1.005000000000000E+08;6.145757706165900E-02;9.090121608167139E-01;4.976667717729481E+00;5.324688399288149E+01;6.145757706165900E-02;9.090121608167139E-01;
1.010000000000000E+08;1.111681702366475E-01;9.044050448357075E-01;5.276625164835998E+00;5.624512645308884E+01;1.111681702366475E-01;9.044050448357075E-01;
1.015000000000000E+08;1.609356175816727E-01;8.968380095560328E-01;5.628057091417846E+00;5.945831695721235E+01;1.609356175816727E-01;8.968380095560328E-01;
