# Version 1.00
#
freq[Hz];re:Smith_S11;im:Smith_S11;re:Magnitude_Z<-S11[Ohm];im:Magnitude_Z<-S11[Ohm];re:Phase_S11;im:Phase_S11;
9.400000000000000E+07;-5.234402941813268E-01;7.244706272151461E-01;3.534290124391702E+00;2.545818230754990E+01;-5.234402941813268E-01;7.244706272151461E-01;
9.450000000000000E+07;-4.821845673745471E-01;7.505903070394376E-01;3.697341249400155E+00;2.719276987681909E+01;-4.821845673745471E-01;7.505903070394376E-01;
9.500000000000000E+07;-4.391078948138626E-01;7.741576211320982E-01;3.892076193952987E+00;2.899085027226308E+01;-4.391078948138626E-01;7.741576211320982E-01;
9.550000000000000E+07;-3.951590191860955E-01;7.954068741925281E-01;4.093945846738500E+00;3.083999442858848E+01;-3.951590191860955E-01;7.954068741925281E-01;
9.600000000000000E+07;-3.494892071426378E-01;8.138724298334316E-01;4.337993597200051E+00;3.277106230057626E+01;-3.494892071426378E-01;8.138724298334316E-01;
9.650000000000000E+07;-3.026752312535635E-01;8.292068365546791E-01;4.629888843681427E+00;3.477419100523709E+01;-3.026752312535635E-01;8.292068365546791E-01;
9.700000000000000E+07;-2.550599290066007E-01;8.415397692375102E-01;4.965375405928348E+00;3.685525150322506E+01;-2.550599290066007E-01;8.415397692375102E-01;
9.750000000000000E+07;-2.067502708205677E-01;8.501574252144578E-01;5.380568746413352E+00;3.901569601500734E+01;-2.067502708205677E-01;8.501574252144578E-01;
9.800000000000000E+07;-1.583318035424136E-01;8.544652560223669E-01;5.908268969819673E+00;4.124178686363342E+01;-1.583318035424136E-01;8.544652560223669E-01;
9.850000000000000E+07;-1.115576812547155E-01;8.540818749753696E-01;6.567350889779092E+00;4.346436530023053E+01;-1.115576812547155E-01;8.540818749753696E-01;
9.900000000000000E+07;-6.730986721824393E-02;8.512940804157727E-01;7.263660839277108E+00;4.567391063521860E+01;-6.730986721824393E-02;8.512940804157727E-01;
9.950000000000000E+07;-2.631065538487256E-02;8.462508230097908E-01;8.001544297838409E+00;4.782553346820497E+01;-2.631065538487256E-02;8.462508230097908E-01;
1.000000000000000E+08;1.140514286309610E-02;8.412873879369379E-01;8.667384190634772E+00;4.992553829965649E+01;1.140514286309610E-02;8.412873879369379E-01;
1.005000000000000E+08;4.725692728394895E-02;8.378882921564981E-01;9.184817161913148E+00;5.204998786505955E+01;4.725692728394895E-02;8.378882921564981E-01;
1.010000000000000E+08;8.386380203403258E-02;8.369679734464349E-01;9.496282002447717E+00;5.435489033808060E+01;8.386380203403258E-02;8.369679734464349E-01;
1.015000000000000E+08;1.216961075897696E-01;8.366735488183384E-01;9.690077793211493E+00;5.686085379792772E+01;1.216961075897696E-01;8.366735488183384E-01;
