# Version 1.00
#
freq[Hz];re:Smith_S11;im:Smith_S11;re:Magnitude_Z<-S11[Ohm];im:Magnitude_Z<-S11[Ohm];re:Phase_S11;im:Phase_S11;
8.600000000000000E+07;-9.214997479269464E-01;4.520511375146721E-02;2.013893665588683E+00;1.223676444582625E+00;-9.214997479269464E-01;4.520511375146721E-02;
8.650000000000000E+07;-9.170470233482884E-01;9.483609997190753E-02;2.036214689590399E+00;2.574225670188511E+00;-9.170470233482884E-01;9.483609997190753E-02;
8.700000000000000E+07;-9.098531604288335E-01;1.442859334080054E-01;2.062895926141946E+00;3.933257116447906E+00;-9.098531604288335E-01;1.442859334080054E-01;
8.750000000000000E+07;-8.998646805139556E-01;1.931434182177527E-01;2.096901234167021E+00;5.296258036755353E+00;-8.998646805139556E-01;1.931434182177527E-01;
8.800000000000000E+07;-8.873552722467281E-01;2.410739156874579E-01;2.133623208105276E+00;6.659083676806286E+00;-8.873552722467281E-01;2.410739156874579E-01;
8.850000000000000E+07;-8.721538416358978E-01;2.883380689163542E-01;2.176763254282339E+00;8.035956674318792E+00;-8.721538416358978E-01;2.883380689163542E-01;
8.900000000000000E+07;-8.547164193607210E-01;3.348061511163908E-01;2.215113516686500E+00;9.425667991149218E+00;-8.547164193607210E-01;3.348061511163908E-01;
8.950000000000000E+07;-8.345869591449732E-01;3.801226004419773E-01;2.264419448256465E+00;1.082907895547271E+01;-8.345869591449732E-01;3.801226004419773E-01;
9.000000000000000E+07;-8.122406452279474E-01;4.243532955132905E-01;2.312008060775819E+00;1.224935169286849E+01;-8.122406452279474E-01;4.243532955132905E-01;
9.050000000000000E+07;-7.870718432548724E-01;4.674652260364216E-01;2.373784845934165E+00;1.370002177796932E+01;-7.870718432548724E-01;4.674652260364216E-01;
9.100000000000000E+07;-7.597878749341431E-01;5.091137053865686E-01;2.436280951820143E+00;1.517002683807635E+01;-7.597878749341431E-01;5.091137053865686E-01;
9.150000000000000E+07;-7.304407150133105E-01;5.495133939408344E-01;2.495023189299100E+00;1.667015697647444E+01;-7.304407150133105E-01;5.495133939408344E-01;
9.200000000000000E+07;-6.988013611029821E-01;5.881573603895498E-01;2.564279178682759E+00;1.819875378039521E+01;-6.988013611029821E-01;5.881573603895498E-01;
9.250000000000000E+07;-6.648971853736384E-01;6.246602782035979E-01;2.651911166758448E+00;1.975470783800823E+01;-6.648971853736384E-01;6.246602782035979E-01;
9.300000000000000E+07;-6.291141933364511E-01;6.596449278294065E-01;2.736743161610105E+00;2.135364437869935E+01;-6.291141933364511E-01;6.596449278294065E-01;
9.350000000000000E+07;-5.911956989921096E-01;6.926207019083831E-01;2.835082134225885E+00;2.299822183806448E+01;-5.911956989921096E-01;6.926207019083831E-01;
9.400000000000000E+07;-5.518591575497360E-01;7.230214340584625E-01;2.945921098776080E+00;2.466785443392044E+01;-5.518591575497360E-01;7.230214340584625E-01;
9.450000000000000E+07;-5.104649611609721E-01;7.512367125940848E-01;3.075851653458993E+00;2.639751953175337E+01;-5.104649611609721E-01;7.512367125940848E-01;
9.500000000000000E+07;-4.679754814869658E-01;7.772831283630042E-01;3.204460446386288E+00;2.817140339206683E+01;-4.679754814869658E-01;7.772831283630042E-01;
9.550000000000000E+07;-4.239996590102950E-01;8.008251408136187E-01;3.351385400814028E+00;3.000361022270416E+01;-4.239996590102950E-01;8.008251408136187E-01;
9.600000000000000E+07;-3.785076586171655E-01;8.220913555046984E-01;3.511053964787042E+00;3.191202791903666E+01;-3.785076586171655E-01;8.220913555046984E-01;
9.650000000000000E+07;-3.317562160326972E-01;8.404382171097113E-01;3.701774281037860E+00;3.388985378032244E+01;-3.317562160326972E-01;8.404382171097113E-01;
9.700000000000000E+07;-2.839615467604994E-01;8.560454479195174E-01;3.916903879412310E+00;3.594758756470340E+01;-2.839615467604994E-01;8.560454479195174E-01;
9.750000000000000E+07;-2.352086545507399E-01;8.693223416994652E-01;4.141107224584285E+00;3.810374380172712E+01;-2.352086545507399E-01;8.693223416994652E-01;
9.800000000000000E+07;-1.856749996245356E-01;8.793281611359020E-01;4.412642617849130E+00;4.035386509022264E+01;-1.856749996245356E-01;8.793281611359020E-01;
9.850000000000000E+07;-1.355598471371472E-01;8.864372256786975E-01;4.718731645344318E+00;4.271436753830378E+01;-1.355598471371472E-01;8.864372256786975E-01;
9.900000000000000E+07;-8.487446560216724E-02;8.891274472903564E-01;5.139737854500489E+00;4.519071645364893E+01;-8.487446560216724E-02;8.891274472903564E-01;
9.950000000000000E+07;-3.476891179288149E-02;8.886971845576860E-01;5.616907704636933E+00;4.776582358400878E+01;-3.476891179288149E-02;8.886971845576860E-01;
1.000000000000000E+08;1.499878370741285E-02;8.847640667057897E-01;6.188341970907429E+00;5.047042086988516E+01;1.499878370741285E-02;8.847640667057897E-01;
1.005000000000000E+08;6.297811990008624E-02;8.782546781557743E-01;6.811885416342853E+00;5.324881435685646E+01;6.297811990008624E-02;8.782546781557743E-01;
1.010000000000000E+08;1.094260498560197E-01;8.686926830006814E-01;7.539949030407615E+00;5.612620119291181E+01;1.094260498560197E-01;8.686926830006814E-01;
1.015000000000000E+08;1.536988134264017E-01;8.566303264304594E-01;8.363940147218264E+00;5.907627437283695E+01;1.536988134264017E-01;8.566303264304594E-01;
1.020000000000000E+08;1.958885360348259E-01;8.437307723014151E-01;9.192135405318052E+00;6.210858613235980E+01;1.958885360348259E-01;8.437307723014151E-01;
1.025000000000000E+08;2.367989652760947E-01;8.297361501053009E-01;1.005022242295930E+01;6.528534173727658E+01;2.367989652760947E-01;8.297361501053009E-01;
1.030000000000000E+08;2.764243263908446E-01;8.143174184338658E-01;1.097506978207980E+01;6.862179482361717E+01;2.764243263908446E-01;8.143174184338658E-01;
1.035000000000000E+08;3.146301111075404E-01;7.981440204905781E-01;1.192546900130715E+01;7.211499016879516E+01;3.146301111075404E-01;7.981440204905781E-01;
