# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz];re:ZMag1_S12;im:ZMag1_S12;re:SMag1_S11;im:SMag1_S11;re:ZPh1_S12;im:ZPh1_S12;re:SPh1_S11;im:SPh1_S11;
5.000000000000000E+07;1.014463852903452E-01;6.217095743448368E-03;3.521732430574609E-01;8.221009619872699E-01;1.014463852903452E-01;6.217095743448368E-03;3.521732430574609E-01;8.221009619872699E-01;
5.025025025025025E+07;1.035187627712307E-01;1.026364777377428E-02;3.465607868686295E-01;8.224112503618611E-01;1.035187627712307E-01;1.026364777377428E-02;3.465607868686295E-01;8.224112503618611E-01;
5.050050050050050E+07;1.067957089437828E-01;1.321369190612490E-02;3.395324439215317E-01;8.237212949494808E-01;1.067957089437828E-01;1.321369190612490E-02;3.395324439215317E-01;8.237212949494808E-01;
5.075075075075075E+07;1.106904927714177E-01;1.739841431147284E-02;3.336386728819553E-01;8.226562611655172E-01;1.106904927714177E-01;1.739841431147284E-02;3.336386728819553E-01;8.226562611655172E-01;
5.100100100100100E+07;1.156215255058864E-01;2.031220757505258E-02;3.258622437415342E-01;8.230571485831890E-01;1.156215255058864E-01;2.031220757505258E-02;3.258622437415342E-01;8.230571485831890E-01;
5.125125125125125E+07;1.210298296197365E-01;2.145702827575468E-02;3.175337819109813E-01;8.244676767527124E-01;1.210298296197365E-01;2.145702827575468E-02;3.175337819109813E-01;8.244676767527124E-01;
5.150150150150150E+07;1.262423201658701E-01;2.119369880501939E-02;3.089432152728998E-01;8.267924123586031E-01;1.262423201658701E-01;2.119369880501939E-02;3.089432152728998E-01;8.267924123586031E-01;
5.175175175175175E+07;1.307499625469214E-01;1.977798820786068E-02;3.006070888075660E-01;8.298430317232027E-01;1.307499625469214E-01;1.977798820786068E-02;3.006070888075660E-01;8.298430317232027E-01;
5.200200200200200E+07;1.343207242941198E-01;1.760408166713779E-02;2.924764383828924E-01;8.337268354780982E-01;1.343207242941198E-01;1.760408166713779E-02;2.924764383828924E-01;8.337268354780982E-01;
5.225225225225225E+07;1.365757693194468E-01;1.495571179625608E-02;2.853621068856653E-01;8.379602766640006E-01;1.365757693194468E-01;1.495571179625608E-02;2.853621068856653E-01;8.379602766640006E-01;
5.250250250250250E+07;1.385832027110967E-01;1.244910959514928E-02;2.785498784220718E-01;8.423955496324564E-01;1.385832027110967E-01;1.244910959514928E-02;2.785498784220718E-01;8.423955496324564E-01;
5.275275275275275E+07;1.394296526346414E-01;9.951765131282080E-03;2.724573936743174E-01;8.470000628720716E-01;1.394296526346414E-01;9.951765131282080E-03;2.724573936743174E-01;8.470000628720716E-01;
5.300300300300300E+07;1.396579066486299E-01;7.701080157651662E-03;2.668623478979238E-01;8.514742326494941E-01;1.396579066486299E-01;7.701080157651662E-03;2.668623478979238E-01;8.514742326494941E-01;
5.325325325325325E+07;1.393437095095730E-01;5.813549778914663E-03;2.618888720457242E-01;8.557515801951063E-01;1.393437095095730E-01;5.813549778914663E-03;2.618888720457242E-01;8.557515801951063E-01;
5.350350350350350E+07;1.385801946370517E-01;4.279567364963436E-03;2.572181661767343E-01;8.598728070856499E-01;1.385801946370517E-01;4.279567364963436E-03;2.572181661767343E-01;8.598728070856499E-01;
5.375375375375375E+07;1.375083030863102E-01;3.158935486550130E-03;2.529455091955120E-01;8.635733355515115E-01;1.375083030863102E-01;3.158935486550130E-03;2.529455091955120E-01;8.635733355515115E-01;
5.400400400400400E+07;1.361659481538159E-01;2.459086421981758E-03;2.489403226827020E-01;8.668515087229238E-01;1.361659481538159E-01;2.459086421981758E-03;2.489403226827020E-01;8.668515087229238E-01;
5.425425425425425E+07;1.345945399783011E-01;2.218744387734193E-03;2.451830007197920E-01;8.701632487599268E-01;1.345945399783011E-01;2.218744387734193E-03;2.451830007197920E-01;8.701632487599268E-01;
5.450450450450450E+07;1.320115954950978E-01;1.922765321676931E-03;2.413748983329902E-01;8.729216098624050E-01;1.320115954950978E-01;1.922765321676931E-03;2.413748983329902E-01;8.729216098624050E-01;
5.475475475475475E+07;1.315549161018045E-01;2.969982080061491E-03;2.376196568299079E-01;8.752965798595396E-01;1.315549161018045E-01;2.969982080061491E-03;2.376196568299079E-01;8.752965798595396E-01;
5.500500500500500E+07;1.301232838758995E-01;3.824154506028524E-03;2.339277296635234E-01;8.775050118496460E-01;1.301232838758995E-01;3.824154506028524E-03;2.339277296635234E-01;8.775050118496460E-01;
5.525525525525525E+07;1.287847611896749E-01;4.865122726846375E-03;2.302786370367723E-01;8.792887331372364E-01;1.287847611896749E-01;4.865122726846375E-03;2.302786370367723E-01;8.792887331372364E-01;
5.550550550550550E+07;1.275171243972734E-01;6.129601487934003E-03;2.265525503496757E-01;8.812943490918537E-01;1.275171243972734E-01;6.129601487934003E-03;2.265525503496757E-01;8.812943490918537E-01;
5.575575575575575E+07;1.262873220301063E-01;7.594203338466499E-03;2.226950025863737E-01;8.829161850133614E-01;1.262873220301063E-01;7.594203338466499E-03;2.226950025863737E-01;8.829161850133614E-01;
5.600600600600600E+07;1.251450756340735E-01;9.209553875724079E-03;2.191241570346633E-01;8.843752682073470E-01;1.251450756340735E-01;9.209553875724079E-03;2.191241570346633E-01;8.843752682073470E-01;
5.625625625625625E+07;1.240151234542608E-01;1.097771501901906E-02;2.153321759642527E-01;8.857093469562706E-01;1.240151234542608E-01;1.097771501901906E-02;2.153321759642527E-01;8.857093469562706E-01;
5.650650650650650E+07;1.229454228384844E-01;1.287425608721062E-02;2.117110835416558E-01;8.868180900259975E-01;1.229454228384844E-01;1.287425608721062E-02;2.117110835416558E-01;8.868180900259975E-01;
5.675675675675675E+07;1.219477833193217E-01;1.489371213436349E-02;2.079206509710310E-01;8.878302989074245E-01;1.219477833193217E-01;1.489371213436349E-02;2.079206509710310E-01;8.878302989074245E-01;
5.700700700700700E+07;1.209901306073822E-01;1.707612243814116E-02;2.043368941782021E-01;8.886460832906850E-01;1.209901306073822E-01;1.707612243814116E-02;2.043368941782021E-01;8.886460832906850E-01;
5.725725725725726E+07;1.201130445846699E-01;1.936490928664587E-02;2.004947674588757E-01;8.895463126453501E-01;1.201130445846699E-01;1.936490928664587E-02;2.004947674588757E-01;8.895463126453501E-01;
5.750750750750751E+07;1.192626040859917E-01;2.172328930994875E-02;1.966627569500743E-01;8.901319511404666E-01;1.192626040859917E-01;2.172328930994875E-02;1.966627569500743E-01;8.901319511404666E-01;
