# Version 1.00
#
# Ref Impedances: Z01: 50
# 
freq[Hz];mag:Smith_S11[U];ang:Smith_S11[°];Magnitude_S11[dB];Phase_S11[°];
9.980000000000000E+07;6.917507468118362E-01;7.438704627947905E+01;-3.201007266477196E+00;7.438704627947905E+01;
1.004000000000000E+08;6.912164023239661E-01;7.106887754612544E+01;-3.207719295008325E+00;7.106887754612544E+01;
1.010000000000000E+08;6.941528480239229E-01;6.813970350390640E+01;-3.170897802877513E+00;6.813970350390640E+01;
1.016000000000000E+08;7.035366537633430E-01;6.534528970659008E+01;-3.054265424073506E+00;6.534528970659008E+01;
1.022000000000000E+08;7.187750628168149E-01;6.233379170012210E+01;-2.868139974302977E+00;6.233379170012210E+01;
1.028000000000000E+08;7.374951673369856E-01;5.892526222314331E+01;-2.644816423762267E+00;5.892526222314331E+01;
1.034000000000000E+08;7.574103865256797E-01;5.512093380543298E+01;-2.413374872081515E+00;5.512093380543298E+01;
1.040000000000000E+08;7.765067861087597E-01;5.095323471081476E+01;-2.197094889971562E+00;5.095323471081476E+01;
1.046000000000000E+08;7.936296409389861E-01;4.657450362792279E+01;-2.007642405387914E+00;4.657450362792279E+01;
1.052000000000000E+08;8.084771927232457E-01;4.201517375062924E+01;-1.846644542094143E+00;4.201517375062924E+01;
1.058000000000000E+08;8.204413477415540E-01;3.732312416422992E+01;-1.719049212697097E+00;3.732312416422992E+01;
1.064000000000000E+08;8.282449854354905E-01;3.257647025181471E+01;-1.636823697010317E+00;3.257647025181471E+01;
1.070000000000000E+08;8.323295906677538E-01;2.804293714883644E+01;-1.594093304378625E+00;2.804293714883644E+01;
1.076000000000000E+08;8.389617801847018E-01;2.371767073081886E+01;-1.525156469551441E+00;2.371767073081886E+01;
1.082000000000000E+08;8.461688887671017E-01;1.926915133195244E+01;-1.450858929779155E+00;1.926915133195244E+01;
1.088000000000000E+08;8.527232947982195E-01;1.478879657055321E+01;-1.383837454908019E+00;1.478879657055321E+01;
1.094000000000000E+08;8.589147380563853E-01;1.029863114162570E+01;-1.320998903338765E+00;1.029863114162570E+01;
1.100000000000000E+08;8.644450152991253E-01;5.731600209669217E+00;-1.265252513078569E+00;5.731600209669217E+00;
1.106000000000000E+08;8.683551551383881E-01;1.145604937265164E+00;-1.226052262132910E+00;1.145604937265164E+00;
1.112000000000000E+08;8.715337090950288E-01;-3.409315265654571E+00;-1.194316212598031E+00;-3.409315265654571E+00;
1.118000000000000E+08;8.742872953202335E-01;-7.931056859703850E+00;-1.166916650061409E+00;-7.931056859703850E+00;
1.124000000000000E+08;8.767393195352705E-01;-1.245407728280503E+01;-1.142590320053212E+00;-1.245407728280503E+01;
