# Version 1.00
#
# Ref Impedances: Z01: 50
# 
freq[Hz];mag:Smith_S11[U];ang:Smith_S11[°];Magnitude_S11[dB];Phase_S11[°];
8.300000000000000E+07;8.500563200282250E-01;1.650451145133451E+02;-1.411045987662710E+00;1.650451145133451E+02;
8.358500000000000E+07;8.454508782070721E-01;1.605062186730511E+02;-1.458232408121824E+00;1.605062186730511E+02;
8.417000000000000E+07;8.378009076943511E-01;1.558296690751228E+02;-1.537183468981917E+00;1.558296690751228E+02;
8.475500000000000E+07;8.277351825879782E-01;1.513394100456137E+02;-1.642171697543247E+00;1.513394100456137E+02;
8.534000000000000E+07;8.144345796069833E-01;1.464501501523249E+02;-1.782875903150256E+00;1.464501501523249E+02;
8.592500000000000E+07;7.989425433576799E-01;1.416891372451901E+02;-1.949689044507375E+00;1.416891372451901E+02;
8.651000000000000E+07;7.785536427653574E-01;1.369020593904054E+02;-2.174229178824328E+00;1.369020593904054E+02;
8.709500000000000E+07;7.527105572358228E-01;1.322063341845166E+02;-2.467439853431494E+00;1.322063341845166E+02;
8.768000000000000E+07;7.231013082095890E-01;1.278167741671158E+02;-2.816017055100581E+00;1.278167741671158E+02;
8.826500000000000E+07;6.900377458543367E-01;1.237449701541686E+02;-3.222543044156572E+00;1.237449701541686E+02;
8.885000000000000E+07;6.532138290968560E-01;1.200474469297552E+02;-3.698892589029533E+00;1.200474469297552E+02;
8.943500000000000E+07;6.122575844619867E-01;1.171713421296529E+02;-4.261316525221776E+00;1.171713421296529E+02;
9.002000000000000E+07;5.701732435578190E-01;1.155035268906813E+02;-4.879863332528353E+00;1.155035268906813E+02;
9.060500000000000E+07;5.367736302965062E-01;1.157976195651451E+02;-5.404176551938318E+00;1.157976195651451E+02;
9.119000000000000E+07;5.216342885662643E-01;1.173291630237473E+02;-5.652677377513351E+00;1.173291630237473E+02;
9.177500000000000E+07;5.254822749897144E-01;1.188413988797307E+02;-5.588838570982543E+00;1.188413988797307E+02;
9.236000000000000E+07;5.454453862341870E-01;1.193806569037546E+02;-5.264974549341087E+00;1.193806569037546E+02;
9.294500000000000E+07;5.724819605267601E-01;1.185032564274669E+02;-4.844763876429392E+00;1.185032564274669E+02;
9.353000000000000E+07;6.041752293454582E-01;1.165507169753718E+02;-4.376741687812428E+00;1.165507169753718E+02;
9.411500000000000E+07;6.328740174931814E-01;1.136147693440008E+02;-3.973654676522230E+00;1.136147693440008E+02;
9.470000000000000E+07;6.597033136265071E-01;1.098789261991653E+02;-3.613026689890324E+00;1.098789261991653E+02;
9.528500000000000E+07;6.806038218783844E-01;1.057088513617982E+02;-3.342112329722420E+00;1.057088513617982E+02;
9.587000000000000E+07;6.956611454801428E-01;1.014051275230261E+02;-3.152045049270736E+00;1.014051275230261E+02;
9.645500000000000E+07;7.068362227965750E-01;9.708383033680904E+01;-3.013624051512117E+00;9.708383033680904E+01;
9.704000000000000E+07;7.138863768112566E-01;9.280499426429813E+01;-2.927418113234594E+00;9.280499426429813E+01;
9.762500000000000E+07;7.165539959376707E-01;8.863080608556876E+01;-2.895021555319877E+00;8.863080608556876E+01;
