# Version 1.00
#
# Ref Impedances: Z01: 50
# 
freq[Hz];mag:Smith_S11[U];ang:Smith_S11[°];Magnitude_S11[dB];Phase_S11[°];
1.850000000000000E+08;7.713787160272639E-01;-9.024658058853178E+01;-2.254646968187071E+00;-9.024658058853178E+01;
1.856000000000000E+08;7.578233156632035E-01;-9.356973163511041E+01;-2.408640741629584E+00;-9.356973163511041E+01;
1.862000000000000E+08;7.446907579738404E-01;-9.660439903132946E+01;-2.560480719181199E+00;-9.660439903132946E+01;
1.868000000000000E+08;7.332758311195703E-01;-9.929538638552172E+01;-2.694652583583879E+00;-9.929538638552172E+01;
1.874000000000000E+08;7.263132941231409E-01;-1.016648667817136E+02;-2.777520132564932E+00;-1.016648667817136E+02;
1.880000000000000E+08;7.251743222098821E-01;-1.038831607152483E+02;-2.791151645860135E+00;-1.038831607152483E+02;
1.886000000000000E+08;7.304258657710687E-01;-1.062038561023873E+02;-2.728477120133813E+00;-1.062038561023873E+02;
1.892000000000000E+08;7.403899258797971E-01;-1.088267075639004E+02;-2.610789982190858E+00;-1.088267075639004E+02;
1.898000000000000E+08;7.526296506725269E-01;-1.118648470438155E+02;-2.468373523410903E+00;-1.118648470438155E+02;
1.904000000000000E+08;7.644127649192713E-01;-1.152136766931154E+02;-2.333441385566192E+00;-1.152136766931154E+02;
1.910000000000000E+08;7.748237710449799E-01;-1.188153760039917E+02;-2.215941278023395E+00;-1.188153760039917E+02;
1.916000000000000E+08;7.833700041723863E-01;-1.224704165352593E+02;-2.120661238653454E+00;-1.224704165352593E+02;
1.922000000000000E+08;7.909305604062753E-01;-1.261918094113403E+02;-2.037232872553818E+00;-1.261918094113403E+02;
1.928000000000000E+08;7.978986736763574E-01;-1.299310653617734E+02;-1.961045136826777E+00;-1.299310653617734E+02;
1.934000000000000E+08;8.048232762891394E-01;-1.336898033468802E+02;-1.885989437568293E+00;-1.336898033468802E+02;
1.940000000000000E+08;8.117495850540799E-01;-1.374966917475617E+02;-1.811558494045858E+00;-1.374966917475617E+02;
1.946000000000000E+08;8.182038587550615E-01;-1.413990047054172E+02;-1.742769532879068E+00;-1.413990047054172E+02;
1.952000000000000E+08;8.238316034042018E-01;-1.453497931470324E+02;-1.683231037570379E+00;-1.453497931470324E+02;
1.958000000000000E+08;8.284589272539126E-01;-1.493263326264185E+02;-1.634580357062996E+00;-1.493263326264185E+02;
1.964000000000000E+08;8.322163054101119E-01;-1.533115253912407E+02;-1.595275588687319E+00;-1.533115253912407E+02;
1.970000000000000E+08;8.347292338742032E-01;-1.572647594224491E+02;-1.569087527556870E+00;-1.572647594224491E+02;
1.976000000000000E+08;8.374488085122433E-01;-1.612025390939033E+02;-1.540834619795896E+00;-1.612025390939033E+02;
1.982000000000000E+08;8.401097812875439E-01;-1.651410970041531E+02;-1.513279176568560E+00;-1.651410970041531E+02;
1.988000000000000E+08;8.424433929310952E-01;-1.690872334315504E+02;-1.489185428446322E+00;-1.690872334315504E+02;
1.994000000000000E+08;8.445844197579653E-01;-1.730583730278620E+02;-1.467138687337846E+00;-1.730583730278620E+02;
2.000000000000000E+08;8.464756878593431E-01;-1.770180702792072E+02;-1.447710220212779E+00;-1.770180702792072E+02;
