# Version 1.00
#
freq[Hz];re:Smith_S11;im:Smith_S11;re:Magnitude_Z<-S11[Ohm];im:Magnitude_Z<-S11[Ohm];re:Phase_S11;im:Phase_S11;
8.000000000000000E+07;-8.527187506790749E-01;-3.289552067099908E-01;2.325183764706919E+00;-9.290477378257487E+00;-8.527187506790749E-01;-3.289552067099908E-01;
8.050000000000000E+07;-8.698552748374664E-01;-2.783139247481775E-01;2.320951828903675E+00;-7.787581020851072E+00;-8.698552748374664E-01;-2.783139247481775E-01;
8.100000000000000E+07;-8.835833274776652E-01;-2.273839947122140E-01;2.327723983233974E+00;-6.316942149535433E+00;-8.835833274776652E-01;-2.273839947122140E-01;
8.150000000000000E+07;-8.944954343439386E-01;-1.763772878084103E-01;2.330920244938150E+00;-4.872002124680102E+00;-8.944954343439386E-01;-1.763772878084103E-01;
8.200000000000000E+07;-9.022582057052552E-01;-1.251685801134405E-01;2.342474994052029E+00;-3.444134584347744E+00;-9.022582057052552E-01;-1.251685801134405E-01;
8.250000000000000E+07;-9.072908645193803E-01;-7.353516347714133E-02;2.352567428690450E+00;-2.018441274968787E+00;-9.072908645193803E-01;-7.353516347714133E-02;
8.300000000000000E+07;-9.094037453681145E-01;-2.142955090744328E-02;2.365774335817612E+00;-5.877096604944315E-01;-9.094037453681145E-01;-2.142955090744328E-02;
8.350000000000000E+07;-9.083263507223188E-01;3.166763400513194E-02;2.387512205459449E+00;8.693421658899854E-01;-9.083263507223188E-01;3.166763400513194E-02;
8.400000000000000E+07;-9.043624619432826E-01;8.416184479057097E-02;2.408651015697414E+00;2.316160311186438E+00;-9.043624619432826E-01;8.416184479057097E-02;
8.450000000000000E+07;-8.972624634061868E-01;1.359294235318974E-01;2.438353801872740E+00;3.756947360068135E+00;-8.972624634061868E-01;1.359294235318974E-01;
8.500000000000000E+07;-8.873043028196745E-01;1.872759992483297E-01;2.468991888104027E+00;5.206464516992121E+00;-8.873043028196745E-01;1.872759992483297E-01;
8.550000000000000E+07;-8.741473629528138E-01;2.375748706514917E-01;2.513744697522530E+00;6.656865063312253E+00;-8.741473629528138E-01;2.375748706514917E-01;
8.600000000000000E+07;-8.581725508727771E-01;2.871890512596190E-01;2.560789801461262E+00;8.123510031104432E+00;-8.581725508727771E-01;2.871890512596190E-01;
8.650000000000000E+07;-8.394912669645195E-01;3.357563369212141E-01;2.610098099074080E+00;9.602749488427742E+00;-8.394912669645195E-01;3.357563369212141E-01;
8.700000000000000E+07;-8.177143298725942E-01;3.831973563429811E-01;2.673240200684744E+00;1.110419061081835E+01;-8.177143298725942E-01;3.831973563429811E-01;
8.750000000000000E+07;-7.934694304455511E-01;4.292602049515721E-01;2.736740000802044E+00;1.262234161169848E+01;-7.934694304455511E-01;4.292602049515721E-01;
8.800000000000000E+07;-7.667333322979943E-01;4.737750119116704E-01;2.804362280534062E+00;1.416025096210078E+01;-7.667333322979943E-01;4.737750119116704E-01;
8.850000000000000E+07;-7.368966540182411E-01;5.169306207243891E-01;2.889227768417205E+00;1.574075307054761E+01;-7.368966540182411E-01;5.169306207243891E-01;
8.900000000000000E+07;-7.045352232642159E-01;5.583253376416681E-01;2.982482819604483E+00;1.735456223233716E+01;-7.045352232642159E-01;5.583253376416681E-01;
8.950000000000000E+07;-6.698133333757430E-01;5.974531949471625E-01;3.090393557807003E+00;1.899555154945969E+01;-6.698133333757430E-01;5.974531949471625E-01;
9.000000000000000E+07;-6.330236280852746E-01;6.347396342738600E-01;3.198833849612419E+00;2.067784431330686E+01;-6.330236280852746E-01;6.347396342738600E-01;
9.050000000000000E+07;-5.936416454004220E-01;6.695725402715706E-01;3.334350809162576E+00;2.240856145928165E+01;-5.936416454004220E-01;6.695725402715706E-01;
9.100000000000000E+07;-5.524996841415588E-01;7.027877339015663E-01;3.457679575076933E+00;2.419929734734731E+01;-5.524996841415588E-01;7.027877339015663E-01;
9.150000000000000E+07;-5.091878312530453E-01;7.332835776311576E-01;3.605639644764471E+00;2.604588667222610E+01;-5.091878312530453E-01;7.332835776311576E-01;
9.200000000000000E+07;-4.637321905624059E-01;7.610395381137508E-01;3.780207190547150E+00;2.796198942938451E+01;-4.637321905624059E-01;7.610395381137508E-01;
9.250000000000000E+07;-4.168298046259381E-01;7.861106235609603E-01;3.966726161974573E+00;2.994277549513710E+01;-4.168298046259381E-01;7.861106235609603E-01;
9.300000000000000E+07;-3.682916008742775E-01;8.084350871031994E-01;4.172834515966141E+00;3.200722723325868E+01;-3.682916008742775E-01;8.084350871031994E-01;
9.350000000000000E+07;-3.179488153712574E-01;8.273787435045971E-01;4.425955231930874E+00;3.416739552297978E+01;-3.179488153712574E-01;8.273787435045971E-01;
9.400000000000000E+07;-2.661666119708490E-01;8.437492484541712E-01;4.691879716631743E+00;3.644562411547493E+01;-2.661666119708490E-01;8.437492484541712E-01;
