# Version 1.00
#
freq[Hz];re:Smith_S11;im:Smith_S11;re:Magnitude_Z<-S11[Ohm];im:Magnitude_Z<-S11[Ohm];re:Phase_S11;im:Phase_S11;
8.000000000000000E+07;-7.985999500686779E-01;-4.482839442763986E-01;2.346964017528046E+00;-1.304698329374253E+01;-7.985999500686779E-01;-4.482839442763986E-01;
8.050000000000000E+07;-8.219964095693536E-01;-4.018483417468089E-01;2.338877558644396E+00;-1.154354149402616E+01;-8.219964095693536E-01;-4.018483417468089E-01;
8.100000000000000E+07;-8.425680362188185E-01;-3.547265877714419E-01;2.332481976060622E+00;-1.007491848120494E+01;-8.425680362188185E-01;-3.547265877714419E-01;
8.150000000000000E+07;-8.602087867479976E-01;-3.073404518828365E-01;2.328978634130027E+00;-8.645702597769505E+00;-8.602087867479976E-01;-3.073404518828365E-01;
8.200000000000000E+07;-8.750112411572419E-01;-2.593982935939277E-01;2.331425742432610E+00;-7.239787282846461E+00;-8.750112411572419E-01;-2.593982935939277E-01;
8.250000000000000E+07;-8.873594902906708E-01;-2.106737517799752E-01;2.332029290136831E+00;-5.841486481790880E+00;-8.873594902906708E-01;-2.106737517799752E-01;
8.300000000000000E+07;-8.970128256763154E-01;-1.610760653140975E-01;2.337117807042002E+00;-4.443964158878679E+00;-8.970128256763154E-01;-1.610760653140975E-01;
8.350000000000000E+07;-9.039694108385183E-01;-1.100388708666556E-01;2.347002808980023E+00;-3.025366400091997E+00;-9.039694108385183E-01;-1.100388708666556E-01;
8.400000000000000E+07;-9.081877747422940E-01;-5.927319287629819E-02;2.355227343606676E+00;-1.626287270831690E+00;-9.081877747422940E-01;-5.927319287629819E-02;
8.450000000000000E+07;-9.095578591484081E-01;-8.958255143958717E-03;2.366991011111238E+00;-2.456677939091805E-01;-9.095578591484081E-01;-8.958255143958717E-03;
8.500000000000000E+07;-9.079038471488808E-01;4.131668116285942E-02;2.388974374178813E+00;1.134511340234355E+00;-9.079038471488808E-01;4.131668116285942E-02;
8.550000000000000E+07;-9.035894202516561E-01;9.120963793248227E-02;2.412008784720489E+00;2.511298021364529E+00;-9.035894202516561E-01;9.120963793248227E-02;
8.600000000000000E+07;-8.965929122954003E-01;1.407039890306876E-01;2.437520744181608E+00;3.890222459313193E+00;-8.965929122954003E-01;1.407039890306876E-01;
8.650000000000000E+07;-8.868966653838853E-01;1.897667300886450E-01;2.466402023866246E+00;5.276588662347208E+00;-8.868966653838853E-01;1.897667300886450E-01;
8.700000000000000E+07;-8.742607709968705E-01;2.383176605345902E-01;2.505467760977865E+00;6.676221599310998E+00;-8.742607709968705E-01;2.383176605345902E-01;
8.750000000000000E+07;-8.594741259940166E-01;2.858634415628082E-01;2.536987216219770E+00;8.076694246520626E+00;-8.594741259940166E-01;2.858634415628082E-01;
8.800000000000000E+07;-8.417619699262113E-01;3.326004173801931E-01;2.581054932589541E+00;9.495516305818173E+00;-8.417619699262113E-01;3.326004173801931E-01;
8.850000000000000E+07;-8.214003971294593E-01;3.785667761270952E-01;2.629275622760406E+00;1.093866852879390E+01;-8.214003971294593E-01;3.785667761270952E-01;
8.900000000000000E+07;-7.984483344036616E-01;4.231926295869468E-01;2.686213615867092E+00;1.239758566123700E+01;-7.984483344036616E-01;4.231926295869468E-01;
8.950000000000000E+07;-7.732072124366169E-01;4.661527287526445E-01;2.749499041702463E+00;1.386714578316862E+01;-7.732072124366169E-01;4.661527287526445E-01;
9.000000000000000E+07;-7.454880314644133E-01;5.078023300335419E-01;2.820081978678698E+00;1.536656809891313E+01;-7.454880314644133E-01;5.078023300335419E-01;
9.050000000000000E+07;-7.152742486226737E-01;5.479645383732474E-01;2.900873152168011E+00;1.689980629024543E+01;-7.152742486226737E-01;5.479645383732474E-01;
9.100000000000000E+07;-6.830713430173290E-01;5.866635746859019E-01;2.978362463068546E+00;1.846652290322383E+01;-6.830713430173290E-01;5.866635746859019E-01;
9.150000000000000E+07;-6.486879398312603E-01;6.232423737151218E-01;3.070442241769828E+00;2.006186107011684E+01;-6.486879398312603E-01;6.232423737151218E-01;
9.200000000000000E+07;-6.124741930535955E-01;6.577722803262459E-01;3.168935601371338E+00;2.168906154510524E+01;-6.124741930535955E-01;6.577722803262459E-01;
9.250000000000000E+07;-5.742675663159200E-01;6.905543198335065E-01;3.271395575650773E+00;2.336756033436752E+01;-5.742675663159200E-01;6.905543198335065E-01;
