# Version 1.00
#
freq[Hz];re:Smith_S11;im:Smith_S11;re:Magnitude_Z<-S11[Ohm];im:Magnitude_Z<-S11[Ohm];re:Phase_S11;im:Phase_S11;
8.000000000000000E+07;-7.915054386552044E-01;-4.694941157836734E-01;2.231751378536222E+00;-1.368820847549666E+01;-7.915054386552044E-01;-4.694941157836734E-01;
8.050000000000000E+07;-8.161585851572075E-01;-4.238140549358928E-01;2.217719623971451E+00;-1.218539155897845E+01;-8.161585851572075E-01;-4.238140549358928E-01;
8.100000000000000E+07;-8.378305382918387E-01;-3.773918280324923E-01;2.210417298745283E+00;-1.072121962073082E+01;-8.378305382918387E-01;-3.773918280324923E-01;
8.150000000000000E+07;-8.567337403126696E-01;-3.305649054233084E-01;2.203344003734475E+00;-9.294059292782039E+00;-8.567337403126696E-01;-3.305649054233084E-01;
8.200000000000000E+07;-8.730003471456628E-01;-2.827075176066734E-01;2.201010079210040E+00;-7.879132536491042E+00;-8.730003471456628E-01;-2.827075176066734E-01;
8.250000000000000E+07;-8.864072756140435E-01;-2.344582084735076E-01;2.204391244840188E+00;-6.488391029837997E+00;-8.864072756140435E-01;-2.344582084735076E-01;
8.300000000000000E+07;-8.974393073365111E-01;-1.850200098032164E-01;2.206217060198015E+00;-5.090647566390709E+00;-8.974393073365111E-01;-1.850200098032164E-01;
8.350000000000000E+07;-9.057766256103805E-01;-1.343242446608531E-01;2.212664145775266E+00;-3.680088515549831E+00;-9.057766256103805E-01;-1.343242446608531E-01;
8.400000000000000E+07;-9.112760405344270E-01;-8.385210274925999E-02;2.220552999690464E+00;-2.291036502780012E+00;-9.112760405344270E-01;-8.385210274925999E-02;
8.450000000000000E+07;-9.138958925701151E-01;-3.350410914883457E-02;2.233439019958402E+00;-9.143835090181471E-01;-9.138958925701151E-01;-3.350410914883457E-02;
8.500000000000000E+07;-9.136931696061593E-01;1.652760342536071E-02;2.251083526914266E+00;4.512662744445933E-01;-9.136931696061593E-01;1.652760342536071E-02;
8.550000000000000E+07;-9.108654264231175E-01;6.654023310824612E-02;2.268929054153907E+00;1.820110760019402E+00;-9.108654264231175E-01;6.654023310824612E-02;
8.600000000000000E+07;-9.051539195400179E-01;1.161858279741916E-01;2.294704354387409E+00;3.189192989481415E+00;-9.051539195400179E-01;1.161858279741916E-01;
8.650000000000000E+07;-8.967484734568014E-01;1.653986327790797E-01;2.323930125331604E+00;4.562706455529962E+00;-8.967484734568014E-01;1.653986327790797E-01;
8.700000000000000E+07;-8.858182382588492E-01;2.140332730427604E-01;2.353000112178512E+00;5.941868489915158E+00;-8.858182382588492E-01;2.140332730427604E-01;
8.750000000000000E+07;-8.721755459740655E-01;2.619391160690935E-01;2.388280263125913E+00;7.329729230793633E+00;-8.721755459740655E-01;2.619391160690935E-01;
8.800000000000000E+07;-8.559594243792970E-01;3.090107107286388E-01;2.427151138735320E+00;8.728936108221465E+00;-8.559594243792970E-01;3.090107107286388E-01;
8.850000000000000E+07;-8.369642506422734E-01;3.552706099698455E-01;2.474874609866596E+00;1.014868999449512E+01;-8.369642506422734E-01;3.552706099698455E-01;
8.900000000000000E+07;-8.157868625794527E-01;4.003445621728384E-01;2.519496701816731E+00;1.157949500898905E+01;-8.157868625794527E-01;4.003445621728384E-01;
8.950000000000000E+07;-7.918906973952469E-01;4.439510929743723E-01;2.579494778481226E+00;1.302686832901070E+01;-7.918906973952469E-01;4.439510929743723E-01;
9.000000000000000E+07;-7.659029668845517E-01;4.863420370243153E-01;2.635873815922066E+00;1.449628805899386E+01;-7.659029668845517E-01;4.863420370243153E-01;
9.050000000000000E+07;-7.372691184995028E-01;5.272760220145963E-01;2.706424938323819E+00;1.599685033260335E+01;-7.372691184995028E-01;5.272760220145963E-01;
9.100000000000000E+07;-7.065699912115879E-01;5.668106921009499E-01;2.775256781132317E+00;1.752848109129216E+01;-7.065699912115879E-01;5.668106921009499E-01;
9.150000000000000E+07;-6.736654035463283E-01;6.042789479891373E-01;2.858563094809726E+00;1.908464907709070E+01;-6.736654035463283E-01;6.042789479891373E-01;
9.200000000000000E+07;-6.388754597106190E-01;6.399535290205400E-01;2.944603108044092E+00;2.067398434751554E+01;-6.388754597106190E-01;6.399535290205400E-01;
9.250000000000000E+07;-6.025290489507561E-01;6.737486510472511E-01;3.028115220920248E+00;2.229452322319251E+01;-6.025290489507561E-01;6.737486510472511E-01;
9.300000000000000E+07;-5.639654431701953E-01;7.054266758799576E-01;3.130779712982022E+00;2.396464032086707E+01;-5.639654431701953E-01;7.054266758799576E-01;
9.350000000000000E+07;-5.234077390551359E-01;7.352199874701792E-01;3.241439906014551E+00;2.569513714356784E+01;-5.234077390551359E-01;7.352199874701792E-01;
9.400000000000000E+07;-4.819223327503385E-01;7.620230260166799E-01;3.368510502303243E+00;2.744275659270969E+01;-4.819223327503385E-01;7.620230260166799E-01;
9.450000000000000E+07;-4.383192116048872E-01;7.872024864073888E-01;3.499944586965660E+00;2.928090583906220E+01;-4.383192116048872E-01;7.872024864073888E-01;
9.500000000000000E+07;-3.936549032806797E-01;8.097131058952699E-01;3.645248566302095E+00;3.116787429290596E+01;-3.936549032806797E-01;8.097131058952699E-01;
9.550000000000000E+07;-3.475323377215368E-01;8.297280985584219E-01;3.808911813295420E+00;3.313224093741157E+01;-3.475323377215368E-01;8.297280985584219E-01;
9.600000000000000E+07;-3.005324586066642E-01;8.469316537508801E-01;3.993622705587043E+00;3.516168156159358E+01;-3.005324586066642E-01;8.469316537508801E-01;
9.650000000000000E+07;-2.524439376686485E-01;8.614873458445814E-01;4.200138592031375E+00;3.728129630055408E+01;-2.524439376686485E-01;8.614873458445814E-01;
9.700000000000000E+07;-2.037336394862483E-01;8.732457280294188E-01;4.429834925241754E+00;3.948599529552054E+01;-2.037336394862483E-01;8.732457280294188E-01;
9.750000000000000E+07;-1.542858786228440E-01;8.823707533812295E-01;4.680767981298190E+00;4.179961942936259E+01;-1.542858786228440E-01;8.823707533812295E-01;
9.800000000000000E+07;-1.043003531614513E-01;8.885207151623178E-01;4.969076903339674E+00;4.422815168187048E+01;-1.043003531614513E-01;8.885207151623178E-01;
9.850000000000000E+07;-5.380411070291467E-02;8.913439577809154E-01;5.317883706221576E+00;4.678977895225587E+01;-5.380411070291467E-02;8.913439577809154E-01;
9.900000000000000E+07;-3.519214974375788E-03;8.922514228581798E-01;5.653259479355174E+00;4.948256019035778E+01;-3.519214974375788E-03;8.922514228581798E-01;
9.950000000000000E+07;4.695393500968283E-02;8.898908857938406E-01;6.054853124708846E+00;5.234028525231631E+01;4.695393500968283E-02;8.898908857938406E-01;
1.000000000000000E+08;9.709068344573377E-02;8.845355465148083E-01;6.514896220084906E+00;5.536484528150956E+01;9.709068344573377E-02;8.845355465148083E-01;
1.005000000000000E+08;1.470607286662199E-01;8.769113841008138E-01;6.996408564904074E+00;5.859830963729487E+01;1.470607286662199E-01;8.769113841008138E-01;
1.010000000000000E+08;1.970777890864401E-01;8.661704673445820E-01;7.559815074971652E+00;6.209395038036045E+01;1.970777890864401E-01;8.661704673445820E-01;
1.015000000000000E+08;2.465236645364526E-01;8.525923022478588E-01;8.199669891704081E+00;6.585553946097883E+01;2.465236645364526E-01;8.525923022478588E-01;
1.020000000000000E+08;2.956674081961980E-01;8.357529525478390E-01;8.961310449026282E+00;6.996281283486316E+01;2.956674081961980E-01;8.357529525478390E-01;
1.025000000000000E+08;3.439408264958639E-01;8.153641460153738E-01;9.901370301596184E+00;7.444668349082039E+01;3.439408264958639E-01;8.153641460153738E-01;
1.030000000000000E+08;3.907631259534933E-01;7.912361497048486E-01;1.109326928914273E+01;7.934385659252257E+01;3.907631259534933E-01;7.912361497048486E-01;
1.035000000000000E+08;4.357921769261283E-01;7.636719272735307E-01;1.258369404756205E+01;8.470887551472519E+01;4.357921769261283E-01;7.636719272735307E-01;
1.040000000000000E+08;4.787637708427129E-01;7.330323768040925E-01;1.442780936804241E+01;9.060703687019765E+01;4.787637708427129E-01;7.330323768040925E-01;
1.045000000000000E+08;5.192666015140168E-01;6.994765429256480E-01;1.673404511104301E+01;9.709934719893947E+01;5.192666015140168E-01;6.994765429256480E-01;
