# Version 1.00
#
freq[Hz];re:Smith_S11;im:Smith_S11;re:Magnitude_Z<-S11[Ohm];im:Magnitude_Z<-S11[Ohm];re:Phase_S11;im:Phase_S11;
9.200000000000000E+07;-2.572862155137833E-01;8.385534411686559E-01;5.048991632394448E+00;3.671520517493724E+01;-2.572862155137833E-01;8.385534411686559E-01;
9.250000000000000E+07;-1.992583325245443E-01;8.507438792631586E-01;5.470225108979831E+00;3.935011599500256E+01;-1.992583325245443E-01;8.507438792631586E-01;
9.300000000000000E+07;-1.401991371143867E-01;8.583122366913759E-01;5.981191399022656E+00;4.214118397242986E+01;-1.401991371143867E-01;8.583122366913759E-01;
9.350000000000000E+07;-7.988697468307487E-02;8.619783695215262E-01;6.563384474926072E+00;4.514955274705948E+01;-7.988697468307487E-02;8.619783695215262E-01;
9.400000000000000E+07;-1.837994192212016E-02;8.600876748354531E-01;7.313830278950292E+00;4.840523363755129E+01;-1.837994192212016E-02;8.600876748354531E-01;
9.450000000000000E+07;4.412102451881083E-02;8.530106955294833E-01;8.238007641650462E+00;5.197064134572886E+01;4.412102451881083E-02;8.530106955294833E-01;
9.500000000000000E+07;1.075768061288755E-01;8.393366793608993E-01;9.458997343881977E+00;5.592203086101033E+01;1.075768061288755E-01;8.393366793608993E-01;
9.550000000000000E+07;1.700345696524419E-01;8.183067112395807E-01;1.109567037634625E+01;6.023744516167301E+01;1.700345696524419E-01;8.183067112395807E-01;
9.600000000000000E+07;2.302715538049520E-01;7.897045753989914E-01;1.329404055731050E+01;6.493665872773484E+01;2.302715538049520E-01;7.897045753989914E-01;
9.650000000000000E+07;2.878322395356805E-01;7.535510886299056E-01;1.624679801889734E+01;7.009633057924228E+01;2.878322395356805E-01;7.535510886299056E-01;
9.700000000000000E+07;3.410197662514061E-01;7.090686599009822E-01;2.032623330022950E+01;7.567165970732573E+01;3.410197662514061E-01;7.090686599009822E-01;
