# Version 1.00
#
freq[Hz];re:Smith_S11;im:Smith_S11;re:Magnitude_Z<-S11[Ohm];im:Magnitude_Z<-S11[Ohm];re:Phase_S11;im:Phase_S11;
9.300000000000000E+07;-4.715932804819705E-01;7.615223847987036E-01;3.600131309333058E+00;2.773707950530905E+01;-4.715932804819705E-01;7.615223847987036E-01;
9.350000000000000E+07;-4.265560765345341E-01;7.865922505733589E-01;3.755432312654730E+00;2.964033954141679E+01;-4.265560765345341E-01;7.865922505733589E-01;
9.400000000000000E+07;-3.793581744201284E-01;8.087421718545580E-01;3.950874917923858E+00;3.163235522413752E+01;-3.793581744201284E-01;8.087421718545580E-01;
9.450000000000000E+07;-3.307051163951111E-01;8.283530358026935E-01;4.160967905742367E+00;3.371475891538758E+01;-3.307051163951111E-01;8.283530358026935E-01;
9.500000000000000E+07;-2.811994335064294E-01;8.448768595255468E-01;4.396699937105657E+00;3.587147465842578E+01;-2.811994335064294E-01;8.448768595255468E-01;
9.550000000000000E+07;-2.302466279802477E-01;8.579644148920896E-01;4.687114231700261E+00;3.813836745967566E+01;-2.302466279802477E-01;8.579644148920896E-01;
9.600000000000000E+07;-1.784058751697011E-01;8.681113531072164E-01;5.007661298269229E+00;4.052319857453794E+01;-1.784058751697011E-01;8.681113531072164E-01;
9.650000000000000E+07;-1.261110398595625E-01;8.748686214653709E-01;5.377394223087348E+00;4.302235110876701E+01;-1.261110398595625E-01;8.748686214653709E-01;
9.700000000000000E+07;-7.333427684748507E-02;8.783317739579790E-01;5.800723946044705E+00;4.566289357274779E+01;-7.333427684748507E-02;8.783317739579790E-01;
9.750000000000000E+07;-1.967932517531945E-02;8.781049156252017E-01;6.310544870467782E+00;4.849227108119469E+01;-1.967932517531945E-02;8.781049156252017E-01;
9.800000000000000E+07;3.376099586079069E-02;8.742216029170192E-01;6.908515767124547E+00;5.148897287362698E+01;3.376099586079069E-02;8.742216029170192E-01;
9.850000000000000E+07;8.674145837723103E-02;8.662807124585997E-01;7.637619965797598E+00;5.467275279973611E+01;8.674145837723103E-02;8.662807124585997E-01;
9.900000000000000E+07;1.394203505591827E-01;8.548902204306175E-01;8.485755096590358E+00;5.809909646255667E+01;1.394203505591827E-01;8.548902204306175E-01;
9.950000000000000E+07;1.907126589086454E-01;8.399471427131002E-01;9.486424071643405E+00;6.174006362414660E+01;1.907126589086454E-01;8.399471427131002E-01;
1.000000000000000E+08;2.411888772339522E-01;8.214555493653535E-01;1.067656407813259E+01;6.568577974544505E+01;2.411888772339522E-01;8.214555493653535E-01;
1.005000000000000E+08;2.911819364747337E-01;8.001894466553567E-01;1.202868761918348E+01;7.002459979066707E+01;2.911819364747337E-01;8.001894466553567E-01;
1.010000000000000E+08;3.404147509379551E-01;7.746678454291999E-01;1.371801032374215E+01;7.483535121915027E+01;3.404147509379551E-01;7.746678454291999E-01;
1.015000000000000E+08;3.890316542884411E-01;7.438333272888729E-01;1.593869029601815E+01;8.027812855481912E+01;3.890316542884411E-01;7.438333272888729E-01;
1.020000000000000E+08;4.351194681886761E-01;7.063452925932064E-01;1.905514423321151E+01;8.634883539368606E+01;4.351194681886761E-01;7.063452925932064E-01;
1.025000000000000E+08;4.771205655899116E-01;6.616959073576959E-01;2.351614318619353E+01;9.303355203845069E+01;4.771205655899116E-01;6.616959073576959E-01;
1.030000000000000E+08;5.114005637346750E-01;6.107863578606019E-01;2.986399388249055E+01;9.983605040673604E+01;5.114005637346750E-01;6.107863578606019E-01;
1.035000000000000E+08;5.357710680538127E-01;5.552609039528243E-01;3.862321411643437E+01;1.060015923074788E+02;5.357710680538127E-01;5.552609039528243E-01;
1.040000000000000E+08;5.480274920469802E-01;4.987602379460291E-01;4.976416811499941E+01;1.100916523725750E+02;5.480274920469802E-01;4.987602379460291E-01;
1.045000000000000E+08;5.486869438759634E-01;4.460666468813659E-01;6.208321103596641E+01;1.107802697929688E+02;5.486869438759634E-01;4.460666468813659E-01;
1.050000000000000E+08;5.409998388396837E-01;3.993411577568984E-01;7.400231550949499E+01;1.078849909658359E+02;5.409998388396837E-01;3.993411577568984E-01;
1.055000000000000E+08;5.247533033916804E-01;3.586773666741521E-01;8.405777084306631E+01;1.011758494511463E+02;5.247533033916804E-01;3.586773666741521E-01;
1.060000000000000E+08;4.986190774531143E-01;3.293774121592953E-01;8.932189552244503E+01;9.152618965078270E+01;4.986190774531143E-01;3.293774121592953E-01;
1.065000000000000E+08;4.682627891838763E-01;3.178439509881865E-01;8.855649630239549E+01;8.282163317523093E+01;4.682627891838763E-01;3.178439509881865E-01;
1.070000000000000E+08;4.432018628751604E-01;3.279364542744527E-01;8.334358935949230E+01;7.853514762204790E+01;4.432018628751604E-01;3.279364542744527E-01;
1.075000000000000E+08;4.383456436171994E-01;3.538321357341153E-01;7.745961470591753E+01;8.029726321663995E+01;4.383456436171994E-01;3.538321357341153E-01;
1.080000000000000E+08;4.575754326284266E-01;3.782466981495326E-01;7.404088709093904E+01;8.649692289019559E+01;4.575754326284266E-01;3.782466981495326E-01;
1.085000000000000E+08;4.903071064834507E-01;3.904894608686547E-01;7.363118758062932E+01;9.471718440458096E+01;4.903071064834507E-01;3.904894608686547E-01;
1.090000000000000E+08;5.279413498033774E-01;3.926823531886934E-01;7.520161069181225E+01;1.041490566669998E+02;5.279413498033774E-01;3.926823531886934E-01;
1.095000000000000E+08;5.699363145649990E-01;3.881583665126911E-01;7.813941915470106E+01;1.156535399510991E+02;5.699363145649990E-01;3.881583665126911E-01;
1.100000000000000E+08;6.172477911006747E-01;3.736030681022441E-01;8.379271807861575E+01;1.305945956723583E+02;6.172477911006747E-01;3.736030681022441E-01;
1.105000000000000E+08;6.639642494689095E-01;3.462868403136660E-01;9.432380260363718E+01;1.487265373005090E+02;6.639642494689095E-01;3.462868403136660E-01;
1.110000000000000E+08;7.059883574447074E-01;3.090842473578306E-01;1.115662368467860E+02;1.698489838028590E+02;7.059883574447074E-01;3.090842473578306E-01;
1.115000000000000E+08;7.412727060792296E-01;2.648900609988220E-01;1.387052665568242E+02;1.932001406250679E+02;7.412727060792296E-01;2.648900609988220E-01;
1.120000000000000E+08;7.697597050977771E-01;2.167146332062935E-01;1.802959674729362E+02;2.167670352445505E+02;7.697597050977771E-01;2.167146332062935E-01;
1.125000000000000E+08;7.920321033332964E-01;1.665946495699865E-01;2.428942831641982E+02;2.346257342929804E+02;7.920321033332964E-01;1.665946495699865E-01;
1.130000000000000E+08;8.090826547817785E-01;1.155953101444394E-01;3.332780509359439E+02;2.320645361942113E+02;8.090826547817785E-01;1.155953101444394E-01;
